日期,指數,指數%,動盪%,交易量%,融資%,融券%,自營商,投信,外資,5日%,10日%,20日%,60日%,120日%,240日%
2020/8/19,12778.64,-0.73169,1.32408,2.00835,0.18609,0.15519,-20.2820081,-1.41308269,-5.19737152,-0.42615,-0.36466,0.57688,5.85041,12.10227,11.28967
2020/8/18,12872.14,-0.65234,1.0887,11.01721,0.05255,0.31787,-5.175571,-0.13251998,-29.95480165,0.47158,0.34598,1.41769,6.78126,12.82091,12.00657
2020/8/17,12956.11,1.23996,1.19959,3.71208,0.61921,0.4988,12.2778736,7.2801219,96.45522408,1.25857,1.11706,2.23976,7.65055,13.47194,12.65219
2020/8/14,12795.46,0.25267,0.95396,-11.6071,0.46422,0.91865,4.3324003,6.8882814,39.48917829,0.11593,0.22184,1.31777,6.74479,12.46825,11.63466
2020/8/13,12763.13,0.72694,0.74668,8.57818,-0.06751,-2.19915,-7.1724342,-0.11929778,72.32612033,-0.18944,0.07146,1.3083,6.75507,12.31642,11.48503
2020/8/12,12670.35,-0.86691,0.82806,5.60916,0.24589,-0.83637,-19.693693,-7.13739277,-104.2007363,-1.16044,-0.62854,0.82452,6.32255,11.7404,10.91166
2020/8/11,12780.19,-0.89052,0.97489,-4.67143,-0.64166,-0.40687,-6.2337958,-6.2283534,-49.71255621,-0.4975,0.33755,1.85978,7.37933,12.56555,11.75067
2020/8/10,12894,0.50512,1.13166,-11.0365,0.47393,-0.59851,-4.34673729,-13.08134023,27.52292767,0.49854,1.36727,2.94752,8.45089,13.403,12.60888
2020/8/7,12828.87,-0.65968,0.94055,-9.11589,0.2375,-1.56292,-8.80741427,-3.69906949,-121.8847094,0.58732,1.10482,2.72078,8.26063,13.03341,12.24532
2020/8/6,12913.5,0.86111,0.93024,8.11478,0.17624,1.88875,1.39846294,4.56364689,39.1225176,1.49293,2.15936,3.65071,9.10587,13.67028,12.9
2020/8/5,12802.3,0.72159,0.59611,11.31994,0.97462,1.25308,-1.8021368,16.63581551,-2.91023313,0.93504,1.70044,3.09534,8.58117,12.99458,12.2229
2020/8/4,12709.92,1.5491,1.03887,-9.244,0.4424,-1.93823,5.20732911,8.02046786,56.06282147,0.62622,1.24484,2.63967,8.1513,12.43683,11.66057
2020/8/3,12513.03,-1.2129,1.31326,9.80214,0.62409,-1.03865,-1.7425844,2.62200664,-302.4279777,-0.74051,-0.05942,1.35425,6.94696,11.13468,10.34794
2020/7/31,12664.8,-0.45891,0.76782,-2.50496,0.74476,-1.21827,3.1129912,2.57645728,-89.09517046,0.34786,1.40692,2.69285,8.28186,12.25884,11.49199
2020/7/30,12722.92,1.4301,1.19535,-2.55579,0.97303,-0.98517,-2.22531267,10.11825735,-28.38321858,1.37019,2.23713,3.43433,8.9484,12.7196,11.96971
2020/7/29,12540.97,-0.36488,1.36531,-57.72625,0.75077,2.55476,-32.39070464,-11.09585955,-61.24890839,0.43341,1.26941,2.39922,7.88631,11.52966,10.76475
