日期,漲跌,動盪,交易量,自營商,投信,外資,3日,4日,5日,6日,7日,8日,9日,10日,target_1,target_2
2020/8/20,-416,619.99,3524.66832,-28.9795933,-16.9878569,-146.7054466,-308.5,-379.7425,-390.358,-392.04667,-379.99857,-384.6925,-400.98889,-407.513,395.61,1
2020/8/19,-93.5,171.47,2555.84456,-20.2820081,-1.41308269,-5.19737152,-90.32333,-71.9475,-54.456,-27.33167,-23.64857,-35.1125,-36.79222,-46.599,-131.51,0
2020/8/18,-83.97,141.33,2504.5142,-5.175571,-0.13251998,-29.95480165,-2.43,25.43,60.702,65.91,53.37143,52.10875,41.72333,44.535,-264.3,0
2020/8/17,160.65,155.42,2228.58664,12.2778736,7.2801219,96.45522408,117.87667,159.8475,163.062,146.23667,143.52286,130.90875,133.45333,144.727,-593.47,0
2020/8/14,32.33,122.12,2145.85977,4.3324003,6.8882814,39.48917829,52.48,43.1775,14.834,6.79333,-11.04,-10.515,0.15778,28.385,-16.82,0
2020/8/13,92.78,95.67,2394.93177,-7.1724342,-0.11929778,72.32612033,25.24,-13.7875,-24.178,-45.21,-44.34714,-32.1525,-0.79111,9.121,109.01,1
2020/8/12,-109.84,105.42,2189.49013,-19.693693,-7.13739277,-104.2007363,-111.16333,-123.0025,-147.032,-144.51833,-129.52571,-93.67,-82.64556,-79.638,285.76,1
2020/8/11,-113.81,125.82,2066.67809,-6.2337958,-6.2283534,-49.71255621,-54.16333,-73.95,-63.582,-41.27333,2.78857,16.86375,21.35333,43.14,15.27,1
2020/8/10,65.13,146.36,2163.22152,-4.34673729,-13.08134023,27.52292767,15.21,34.3325,64.282,117.06333,133.08286,137.8325,161.74333,176.296,-130.87,0
2020/8/7,-84.63,121.45,2401.9655,-8.80741427,-3.69906949,-121.8847094,-19.35333,15.2225,75.346,90.13333,92.39286,116.83125,130.75444,141.736,-158.52,0
2020/8/6,111.2,120.67,2620.92613,1.39846294,4.56364689,39.1225176,104.92667,178.8125,192.79,192.42167,218.15143,231.72875,242.11444,278.849,-133.31,0
2020/8/5,92.38,76.4,2408.24381,-1.8021368,16.63581551,-2.91023313,127.21667,129.7875,119.706,143.31,153.63286,161.17875,198.63222,217.695,91.7,1
2020/8/4,196.89,132.04,2135.63217,5.20732911,8.02046786,56.06282147,80.67,57.2525,79.592,86.85833,91.82429,131.08125,149.50333,158.218,118.95,1
2020/8/3,-151.77,166.43,2333.05009,-1.7425844,2.62200664,-302.4279777,-120.55333,-97.4,-92.66,-89.76167,-47.08286,-28.69875,-21.09222,-7.435,400.47,1
2020/7/31,-58.12,97.77,2104.36132,3.1129912,2.57645728,-89.09517046,21.90333,35.945,44.056,96.84,118.97143,128.04125,143.50889,178.184,137.5,1
2020/7/30,181.95,152.64,2157.07482,-2.22531267,10.11825735,-28.38321858,106.04667,113.19,174.328,196.92,204.45286,219.5675,256.10222,284.628,-13,0
2020/7/29,-45.76,172.86,2212.20519,-32.39070464,-11.09585955,-61.24890839,-31.03,35.96,54.354,56.57833,68.98429,106.165,134.30333,159.196,-27.94,0
2020/7/28,-1.57,498.51,3489.22818,-10.38574981,-5.5862439,-73.03868396,93.70667,113.7025,113.654,126.24167,167.09143,196.85125,222.64444,238.768,78.07,1
2020/7/27,284.26,99.45,2566.12208,3.5456255,-1.38527224,75.32010246,153.17333,143.6375,153.06,196.51,226.54286,252.045,266.86778,278.11,134.62,1
2020/7/24,-109,236.29,2684.23485,-25.2448584,7.625777,-107.7006524,-92.74333,-92.935,-48.448,-19.96,3.79143,15.96625,24.75111,31.524,236.93,1
2020/7/23,-60.23,81.9,2281.502,0.4495105,5.98840161,-88.69322986,-14.91333,48.44,85.048,113.42333,127.24714,136.845,144.02667,163.56,173.69,1
2020/7/22,75.72,97.55,2262.56573,-1.5594879,18.04066034,-23.81908225,124.81667,166.54,196.338,208.685,216.62429,222.26,241.96333,245.825,115.03,1
2020/7/21,223.01,207.84,2256.23415,9.50642665,21.388328,126.4056866,146.33333,169.7025,174.702,177.00833,178.29143,196.48875,197.41889,200.413,-93.51,0
2020/7/20,-7.02,155.53,1764.39351,-7.7857255,6.44461892,43.54201361,3.26,-4.6325,-10.6,-15.00333,1.54857,-0.91375,-0.32889,7.861,238.5,1
